issue_number;issue_url;title;domain;domain_source;author;created_at
126;https://github.com/svemailproject/TheySoldMyEmail/issues/126;https://kick.com/;www.kick.com;body;Bob-Nixkoenner;2025-11-04T13:14:23Z
125;https://github.com/svemailproject/TheySoldMyEmail/issues/125;https://www.twitch.tv/;www.twitch.tv;body;Bob-Nixkoenner;2025-11-04T13:12:28Z
124;https://github.com/svemailproject/TheySoldMyEmail/issues/124;https://mastodon.social/;www.mastodon.social;body;Bob-Nixkoenner;2025-11-04T13:11:51Z
123;https://github.com/svemailproject/TheySoldMyEmail/issues/123;https://bsky.app/;www.bsky.app;body;Bob-Nixkoenner;2025-11-04T13:10:38Z
122;https://github.com/svemailproject/TheySoldMyEmail/issues/122;https://x.com/home;www.x.com;body;Bob-Nixkoenner;2025-11-04T13:10:14Z
121;https://github.com/svemailproject/TheySoldMyEmail/issues/121;https://www.facebook.com/;www.facebook.com;body;Bob-Nixkoenner;2025-11-04T13:09:03Z
120;https://github.com/svemailproject/TheySoldMyEmail/issues/120;Blizzard;www.account.battle.net;body;targetingcat;2025-11-03T21:34:02Z
119;https://github.com/svemailproject/TheySoldMyEmail/issues/119;Bohemia Interactive;www.accounts.bistudio.com;body;targetingcat;2025-11-03T21:32:38Z
118;https://github.com/svemailproject/TheySoldMyEmail/issues/118;Microsoft User Account;www.account.microsoft.com;body;targetingsnake;2025-11-03T21:24:30Z
117;https://github.com/svemailproject/TheySoldMyEmail/issues/117;Österreiche Läden TOP 20;;none;Vickyistda2003w;2025-11-01T20:45:45Z
116;https://github.com/svemailproject/TheySoldMyEmail/issues/116;https://www.smava.de/;www.home.smava.de;body;Bob-Nixkoenner;2025-11-01T19:43:38Z
115;https://github.com/svemailproject/TheySoldMyEmail/issues/115;https://www.shoop.de/;www.shoop.de;body;Bob-Nixkoenner;2025-11-01T19:42:11Z
114;https://github.com/svemailproject/TheySoldMyEmail/issues/114;https://www.payback.de/;www.payback.de;body;Bob-Nixkoenner;2025-11-01T19:41:28Z
113;https://github.com/svemailproject/TheySoldMyEmail/issues/113;https://www.trendfrage.de//;www.trendfrage.de;body;Bob-Nixkoenner;2025-11-01T19:39:57Z
112;https://github.com/svemailproject/TheySoldMyEmail/issues/112;https://www.meinungsstudie.de/;www.meinungsstudie.de;body;Bob-Nixkoenner;2025-11-01T19:39:11Z
111;https://github.com/svemailproject/TheySoldMyEmail/issues/111;https://meinungsplatz.de/;www.meinungsplatz.de;body;Bob-Nixkoenner;2025-11-01T19:38:22Z
110;https://github.com/svemailproject/TheySoldMyEmail/issues/110;https://www.stadt-koeln.de/;www.stadt-koeln.de;body;Bob-Nixkoenner;2025-11-01T19:36:32Z
109;https://github.com/svemailproject/TheySoldMyEmail/issues/109;https://www.vzbv.de/;www.vzbv.de;body;Bob-Nixkoenner;2025-11-01T19:34:52Z
108;https://github.com/svemailproject/TheySoldMyEmail/issues/108;https://www.arbeitsagentur.de/;www.arbeitsagentur.de;body;Bob-Nixkoenner;2025-11-01T19:33:29Z
